comm-out,model_name,Capacity (MW),model_fuel,model_description,comm_id,bus_id,Latitude,Longitude,is_new_tech
ELC,ep_coal__ember,5.000000000000004,coal,Aggregated Plant -- operating,,,,,False
e_AR1-345,ep_solar_pv_345,208.0,solar,Aggregated Plant -- operating,e_AR1-345,AR1-345,-24.197193927825126,-68.57010233157567,False
e_AR10-500,ep_hydro_dam_G100000604098,270.0,hydro,Brazo Aña Cuá hydroelectric plant_ -- construction,e_AR10-500,AR10-500,-27.4823,-56.7213,False
e_AR10-500,ep_hydro_dam_G100000604100,3100.0,hydro,Yacyretá hydroelectric plant_ -- operating,e_AR10-500,AR10-500,-27.4823,-56.7212,False
e_AR12-500,ep_gas_gas_turbine_G100000406915,60.0,gas,Frias power station_1 -- operating,e_AR12-500,AR12-500,-28.6072,-65.1228,False
e_AR13-500,ep_bioenergy_AR13-500,80.0,bioenergy,Aggregated Plant -- operating,e_AR13-500,AR13-500,-28.077215680091893,-55.644393851205734,False
e_AR13-500,ep_bioenergy_AR13-500__ember,63.03030303030303,bioenergy,Aggregated Plant - EMBER Gap - AR13-500_Missing Bioenergy Capacity -- operating,e_AR13-500,AR13-500,-28.433298570712594,-55.69943413789517,False
e_AR15-220,ep_gas_internal_combustion_G100000412239,50.0,gas,Villa Ocampo thermal power station_1 -- operating,e_AR15-220,AR15-220,-28.516149,-59.345729,False
e_AR22-500,ep_hydro_dam_G100000604101,1890.0,hydro,Salto Grande hydroelectric plant_ -- operating,e_AR22-500,AR22-500,-31.2751,-57.9385,False
e_AR25-500,ep_gas_AR25-500__ember,11.8282959108431,gas,Aggregated Plant -- operating,e_AR25-500,AR25-500,-31.459345910655234,-63.7864447458373,False
e_AR25-500,ep_gas_combined_cycle_G100000406870,466.0,gas,Bicentenario power station_CC -- operating,e_AR25-500,AR25-500,-31.66766,-63.8337,False
e_AR27-500,ep_gas_gas_turbine_G100000406544,292.0,gas,Brigadier López power station_BLOPTG01 -- operating,e_AR27-500,AR27-500,-31.71091,-60.7806,False
e_AR27-500,ep_gas_steam_turbine_G100000406934,140.0,gas,Brigadier López power station_ST1 -- construction,e_AR27-500,AR27-500,-31.71091,-60.7806,False
e_AR27-500,ep_hydro_ror_G100001027063,45.0,hydro,Quebrada De Ullum hydroelectric plant_ -- operating,e_AR27-500,AR27-500,-31.2567,-61.5203,False
e_AR29-500,ep_gas_gas_turbine_G100000406881,50.0,gas,Modesto Maranzana power station_TG8 -- operating,e_AR29-500,AR29-500,-33.1607,-64.3649,False
e_AR29-500,ep_gas_gas_turbine_G100000406882,60.0,gas,Modesto Maranzana power station_MMARTG05 -- operating,e_AR29-500,AR29-500,-33.1607,-64.3649,False
e_AR29-500,ep_gas_gas_turbine_G100000406883,60.0,gas,Modesto Maranzana power station_MMARTG04 -- operating,e_AR29-500,AR29-500,-33.1607,-64.3649,False
e_AR29-500,ep_gas_gas_turbine_G100000406884,60.0,gas,Modesto Maranzana power station_MMARTG03 -- operating,e_AR29-500,AR29-500,-33.1607,-64.3649,False
e_AR29-500,ep_gas_gas_turbine_G100000410873,50.0,gas,Modesto Maranzana power station_7 -- operating,e_AR29-500,AR29-500,-33.1607,-64.3649,False
e_AR29-500,ep_gas_gas_turbine_G100000410874,50.0,gas,Modesto Maranzana power station_6 -- operating,e_AR29-500,AR29-500,-33.1607,-64.3649,False
e_AR29-500,ep_gas_steam_turbine_G100000410872,125.0,gas,Modesto Maranzana power station_TV9 -- construction,e_AR29-500,AR29-500,-33.1607,-64.3649,False
e_AR29-500,ep_nuclear_G100000500385,656.0,nuclear,Embalse nuclear power plant_-- -- operating,e_AR29-500,AR29-500,-32.2316,-64.4422,False
e_AR32-500,ep_gas_AR32-500__ember,14.136589223698165,gas,Aggregated Plant -- operating,e_AR32-500,AR32-500,-32.43223292990854,-60.95349366683149,False
e_AR32-500,ep_gas_combined_cycle_G100000406850,865.0,gas,Timbúes power station_1 -- operating,e_AR32-500,AR32-500,-32.577915,-60.790519,False
e_AR32-500,ep_gas_gas_turbine_G100000406851,170.0,gas,Timbúes cogeneration power station_1 -- operating,e_AR32-500,AR32-500,-32.58697,-60.791719,False
e_AR32-500,ep_oil_combined_cycle_G100000406845,841.0,oil,Vuelta De Obligado power station_1 -- operating,e_AR32-500,AR32-500,-32.579366,-60.788444,False
e_AR33-500,ep_gas_combined_cycle_G100000409767,391.0,gas,Terminal 6 San Lorenzo cogeneration plant_1 -- operating,e_AR33-500,AR33-500,-32.663009,-60.749203,False
e_AR34-500,ep_gas_internal_combustion_G100000412245,65.0,gas,Cañada de Gómez thermal power station_1 -- operating,e_AR34-500,AR34-500,-32.781845,-61.41844,False
e_AR35-220,ep_gas_internal_combustion_G100000412241,80.0,gas,Pérez thermal power station_1 -- operating,e_AR35-220,AR35-220,-33.018938,-60.823985,False
e_AR35-500,ep_gas_steam_turbine_G100000406853,140.0,gas,Sorrento power station_SORRTV13 -- operating,e_AR35-500,AR35-500,-32.90519,-60.680324,False
